Country Name,Abbr,Code,GDP
Aruba,ABW,#N/A,
Andorra,AND,#N/A,
Afghanistan,AFG,4,1942.48461
Angola,AGO,24,7327.37949
Albania,ALB,8,11307.54928
Arab World,ARB,#N/A,16115.99531
United Arab Emirates,ARE,784,67238.99526
Argentina,ARG,32,19880.70482
Armenia,ARM,51,8117.6085
American Samoa,ASM,#N/A,
Antigua and Barbuda,ATG,28,22133.75502
Australia,AUS,36,46298.68718
Austria,AUT,40,48658.98009
Azerbaijan,AZE,31,17607.62289
Burundi,BDI,108,773.7030294
Belgium,BEL,#N/A,44746.85187
Benin,BEN,204,2045.971787
Burkina Faso,BFA,854,1660.46464
Bangladesh,BGD,50,3138.242457
Bulgaria,BGR,100,17406.09846
Bahrain,BHR,48,45310.95885
"Bahamas, The",BHS,44,23441.10216
Bosnia and Herzegovina,BIH,70,10472.71749
Belarus,BLR,112,18290.74286
Belize,BLZ,84,8485.555403
Bermuda,BMU,#N/A,
Bolivia,BOL,68,6662.801466
Brazil,BRA,76,15972.02807
Barbados,BRB,52,16136.56476
Brunei Darussalam,BRN,96,79059.4889
Bhutan,BTN,64,7875.800825
Botswana,BWA,#N/A,16011.86847
Central African Republic,CAF,140,595.7958883
Canada,CAN,124,44897.22167
Central Europe and the Baltics,CEB,#N/A,25049.8426
Switzerland,CHE,757,61282.10989
Channel Islands,CHI,#N/A,
Chile,CHL,152,22909.79625
China,CHN,156,13439.90764
Cote d'Ivoire,CIV,384,3262.726564
Cameroon,CMR,120,2986.974188
"Congo, Rep.",COG,178,6307.901691
Colombia,COL,170,13394.0792
Comoros,COM,174,1487.777216
Cabo Verde,CPV,132,6475.759662
Costa Rica,CRI,188,15028.14728
Caribbean small states,CSS,#N/A,15414.61821
Cuba,CUB,#N/A,
Curacao,CUW,#N/A,
Cayman Islands,CYM,#N/A,
Cyprus,CYP,196,30482.6392
Czech Republic,CZE,203,32386.24531
Germany,DEU,276,47099.71803
Djibouti,DJI,262,3286.641767
Dominica,DMA,212,10992.97181
